id_establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad
594;Coboe S.A.;Farmashop 82;18 de Julio 1395 ;;Interior;2;Farmashop;-32,317675;-58,076983;Paysand�;Paysand�;11;11120
595;Coboe S.A.;Farmashop 83;18 de Julio 1099 ;;Interior;2;Farmashop;-32,316913;-58,084021;Paysand�;Paysand�;11;11120
596;Coboe S.A.;Farmashop 84;18 de Julio 1135 ;;Interior;2;Farmashop;-32,31695;-58,083377;Paysand�;Paysand�;11;11120
597;Coboe S.A.;Farmashop 86;18 de Julio 1676 ;;Interior;2;Farmashop;-32,70324;-57,632374;Young;R�o Negro;12;12421
598;Coboe S.A.;Farmashop 87;18 de Julio 953 ;;Interior;2;Farmashop;-32,698789;-57,62485;Young;R�o Negro;12;12421
599;Coboe S.A.;Farmashop 88;Fco. Solano L�pez 1665 ;;Buceo;2;Farmashop;-34,892382;-56,124678;Montevideo;Montevideo;1;1020
600;Coboe S.A.;Farmashop 89;Carlos M Ramirez 802 ;;La Teja;2;Farmashop;-34,864657;-56,233994;Montevideo;Montevideo;1;1020
601;Coboe S.A.;Farmashop 90;Luis A. de Herrera 3365 101;;Brazo Oriental;5;Farmashop;-34,869384;-56,169181;Montevideo;Montevideo;1;1020
602;Coboe S.A.;Farmashop 91;Rodo 550 ;;Interior;2;Farmashop;-33,250837;-58,033156;Mercedes;Soriano;17;17220
603;Coboe S.A.;Farmashop 92;Artigas 281 ;;Interior;2;Farmashop;-33,248962;-58,029335;Mercedes;Soriano;17;17220
604;Coboe S.A.;Farmashop 94;Calle 11 s/n esq. esq. Ciudad de Montevideo;;Interior;3;Farmashop;-34,773913;-55,761469;Atl�ntida;Canelones;3;3621
605;Coboe S.A.;Farmashop 95;Gral. Manuel Oribe 702;;Interior;2;Farmashop;-33,381626;-56,523815;Durazno;Durazno;6;6220
606;Coboe S.A.;Puntoshop 2;21 de Setiembre 2855 ;;Punta Carretas;3;Farmashop;-34,918984;-56,155542;Montevideo;Montevideo;1;1020
607;Coboe S.A.;Puntoshop 4;Sarandi 822 ;;Interior;3;Farmashop;-34,90616;-54,957705;Maldonado;Maldonado;10;10320
608;Coboe S.A.;Puntoshop 5;Av. Gral. Artigas 1068 ;;Interior;3;Farmashop;-34,724385;-55,958768;Pando;Canelones;3;3322
609;Coboe S.A.;Puntoshop 6;8 de Octubre 3691 ;;Uni�n;2;Farmashop;-34,875616;-56,142005;Montevideo;Montevideo;1;1020
663;San Roque S.A.;San Roque Cord�n;18 de Julio 1551 ;;Cord�n;2;San Roque;-34,904306;-56,182333;Montevideo;Montevideo;1;1020
664;San Roque S.A.;San Roque Centro;18 de Julio 1078 ;;Centro;3;San Roque;-34,906083;-56,192722;Montevideo;Montevideo;1;1020
665;San Roque S.A.;San Roque Costa Urbana;Av. Giannattassio Km. 21.0;;Interior;2;San Roque;-34,865944;-56,024083;Ciudad de la Costa;Canelones;3;3831
666;San Roque S.A.;San Roque Y�;18 de Julio 1252 ;;Centro;2;San Roque;-34,905722;-56,189028;Montevideo;Montevideo;1;1020
667;San Roque S.A.;San Roque MAM;Jos� L. Terra 2220 ;1;Aguada;1;San Roque;-34,886806;-56,18375;Montevideo;Montevideo;1;1020
668;San Roque S.A.;San Roque Montevideo Shopping;Avenida Luis Alberto de Herrera 1290 119;;Buceo;3;San Roque;-34,903083;-56,136139;Montevideo;Montevideo;1;1020
669;San Roque S.A.;San Roque Portones Shopping;Av Italia 5775 203;;Carrasco;3;San Roque;-34,881417;-56,081056;Montevideo;Montevideo;1;1020
670;San Roque S.A.;San Roque Tres Cruces Shopping;Bulevar Gral. Artigas 1825 ;;Tres Cruces;4;San Roque;-34,893806;-56,166111;Montevideo;Montevideo;1;1020
671;San Roque S.A.;San Roque Punta Carretas Shopping;Jos� Ellauri 350 109;;Punta Carretas;3;San Roque;-34,924028;-56,158333;Montevideo;Montevideo;1;1020
672;San Roque S.A.;San Roque Punta del Este Shopping;P.7 - Playa Mansa esq. Ave Roosevelt;;Interior;3;San Roque;-34,940361;-54,934222;Punta del Este;Maldonado;10;10524
673;San Roque S.A.;San Roque Cerro;Carlos Ma Ramirez 1490 ;;Cerro;2;San Roque;-34,872889;-56,246806;Montevideo;Montevideo;1;1020
674;San Roque S.A.;San Roque Parque Roosevelt;Av a la Playa Ciudad de la Costa 1 ;;Interior;1;San Roque;-34,866;-56,024222;Ciudad de la Costa;Canelones;3;3831
675;San Roque S.A.;San Roque Salto Shopping;Av. Jose Batlle y Ordo�ez 2265 117;;Interior;1;San Roque;-31,38425;-57,944;Salto;Salto;15;15120
676;San Roque S.A.;San Roque Universidad;18 de Julio 1835 ;;Cord�n;2;San Roque;-34,902028;-56,176528;Montevideo;Montevideo;1;1020
677;San Roque S.A.;San Roque Ellauri;Ellauri 452 ;;Punta Carretas;1;San Roque;-34,92375;-56,158194;Montevideo;Montevideo;1;1020
678;San Roque S.A.;San Roque Mercedes Shopping;Don Bosco 734 ;;Interior;1;San Roque;-33,257139;-58,027694;Mercedes;Soriano;17;17220
679;San Roque S.A.;San Roque Aeropuerto;101 Km. 19.95;;Interior;1;San Roque;-34,814944;-58,534694;Ciudad de la Costa;Canelones;3;3831
680;San Roque S.A.;San Roque Punta del Este Shopping;Playa Mansa esq. Ave Roosevelt;;Interior;1;San Roque;-34,940361;-54,934222;Punta del Este;Maldonado;10;10524
681;San Roque S.A.;San Roque Benito Blanco;Gabriel Pereyra 3298 ;;Pocitos;1;San Roque;-34,911222;-56,146139;Montevideo;Montevideo;1;1020
682;San Roque S.A.;San Roque Colonia Shopping;Av Roosevelt esq. Lu�s Casanello;;Interior;1;San Roque;-34,465806;-57,8345;Colonia del Sacramento;Colonia;5;5320
683;San Roque S.A.;San Roque Ciudad Vieja;Sarand� 667 ;;Ciudad Vieja;1;San Roque;-34,906611;-56,201194;Montevideo;Montevideo;1;1020
684;San Roque S.A.;San Roque Uni�n;8 de Octubre 3640 ;;Uni�n;1;San Roque;-34,876944;-56,143528;Montevideo;Montevideo;1;1020
685;San Roque S.A.;San Roque Mercedes ;Colon 278 ;;Interior;1;San Roque;-33,257278;-58,028667;Mercedes;Soriano;17;17220
686;San Roque S.A.;San Roque Salto Centro;Uruguay 839 ;;Interior;1;San Roque;-31,387528;-57,964694;Salto;Salto;15;15120
687;San Roque S.A.;San Roque Fray Bentos;18 de Julio 1707 ;;Interior;1;San Roque;-33,122806;-58,304028;Fray Bentos;R�o Negro;12;12320
688;San Roque S.A.;San Roque Paysand�;19 de Abril 914 ;;Interior;1;San Roque;-32,317861;-58,084028;Paysand�;Paysand�;11;11120
689;San Roque S.A.;San Roque Trinidad;Francisco Fondar 649 ;;Interior;1;San Roque;-33,51775;-56,897389;Trinidad;Flores;7;7320
690;San Roque S.A.;San Roque Colonia Centro;Av. Artigas 389 ;;Interior;1;San Roque;-33,51775;-56,897389;Colonia del Sacramento;Colonia;5;5320
691;San Roque S.A.;San Roque Durazno Centro;18 de Julio 549 ;;Interior;1;San Roque;-33,378472;-56,523111;Durazno;Durazno;6;6220
692;San Roque S.A.;San Roque Durazno Ruta;Morquio 800 ;;Interior;1;San Roque;-33,384111;-56,520278;Durazno;Durazno;6;6220
693;San Roque S.A.;San Roque Rivera;Sarand� 665 ;;Interior;1;San Roque;-30,901778;-55,540861;Rivera;Rivera;13;13220
694;San Roque S.A.;San Roque Arocena;Arocena 1681 ;;Carrasco;2;San Roque;-34,886778;-56,058667;Montevideo;Montevideo;1;1020
695;Mercados Devoto S.A.;Devoto Express - Ciudadela;Sarandi 700 ;;Ciudad Vieja;3;Devoto Express;-34,9065514;-56,2009051;Montevideo;Montevideo;1;1020
696;Mercados Devoto S.A.;Devoto Express - Centenario;Av. Centenario 2971 ;;La Blanqueada;3;Devoto Express;-34,8860963;-56,1531658;Montevideo;Montevideo;1;1020
697;Mercados Devoto S.A.;Devoto Express - Maldonado;Maldonado 902 ;;Barrio Sur;3;Devoto Express;-34,9100729;-56,1965548;Montevideo;Montevideo;1;1020
698;Mercados Devoto S.A.;Devoto Express - 18 de julio IV;18 de Julio 2160;;Tres Cruces;3;Devoto Express;-34,8990938;-56,1685676;Montevideo;Montevideo;1;1020
699;Farmazul S.A;Pigalle Lyon;18 de julio 2102 ;;Cord�n;1;Pigalle;-34,8995753;-56,1697701;Montevideo;Montevideo;1;1020
700;Farsolis S.A;Pigalle Marazul;18 de julio 2151 ;;Cord�n;1;Pigalle;-34,8991372;-56,1687484;Montevideo;Montevideo;1;1020
701;Farsolis S.A;Pigalle Cord�n;18 de julio 2051 ;;Cord�n;1;Pigalle;-34,8998189;-56,1731098;Montevideo;Montevideo;1;1020
702;Calafate S.A;Pigalle Mayo;Andes 1397 ;;Centro;1;Pigalle;-34,9067268;-56,1980688;Montevideo;Montevideo;1;1020
703;Tresiglos S.A.;Pigalle Tres Cruces;E. Victor Haedo 2356 ;;Tres Cruces;1;Pigalle;-34,8954741;-56,1659119;Montevideo;Montevideo;1;1020
704;Calousd S.A.;Pigalle 1 Pocitos;Buxareo 1158 ;;Pocitos;1;Pigalle;-34,9080083;-56,1435764;Montevideo;Montevideo;1;1020
