id_Estab,cadena,ciudad,barrio,Pre_Var12Acum,Ind_Var12Acum
791,Kinko,Montevideo,Centro,27.10367789078434,27.915165890757553
792,Kinko,Montevideo,Pocitos,27.10367789078434,27.915165890757553
793,Kinko,Montevideo,La Blanqueada,27.43290516903709,27.915165890757553
794,Kinko,Montevideo,Parque Batlle,27.10367789078434,27.915165890757553
795,Kinko,Montevideo,Punta Carretas,27.10367789078434,27.915165890757553
797,Kinko,Montevideo,Parque Rod�,27.10367789078434,27.915165890757553
798,Frog,Montevideo,Centro,44.940326948149625,27.915165890757553
799,Frog,Montevideo,Cordon,44.940326948149625,27.915165890757553
800,Frog,Montevideo,Unión,44.940326948149625,27.915165890757553
801,Frog,Montevideo,Carrasco,44.940326948149625,27.915165890757553
802,Frog,Montevideo,Tres Cruces,44.940326948149625,27.915165890757553
803,Frog,Montevideo,Parque Batlle,44.940326948149625,27.915165890757553
804,Frog,Montevideo,Malvín,44.940326948149625,27.915165890757553
805,Frog,Montevideo,Punta Gorda,44.940326948149625,27.915165890757553
806,Frog,Montevideo,Carrasco,44.940326948149625,27.915165890757553
807,Frog,Montevideo,Pocitos,44.940326948149625,27.915165890757553
808,FarmaGlobal,Montevideo,Trouville,50.928282926274605,16.910534277862553
809,FarmaGlobal,Montevideo,Trouville,50.969009665759856,16.910534277862553
810,FarmaGlobal,Montevideo,Punta Carretas,51.03329853697729,16.910534277862553
811,FarmaGlobal,Montevideo,Pocitos,50.0915037259388,16.910534277862553
812,FarmaGlobal,Montevideo,Trouville,50.600287211458905,16.910534277862553
813,FarmaGlobal,Montevideo,Pocitos,50.06777509946869,16.910534277862553
814,FarmaGlobal,Montevideo,Trouville,50.118410591383686,16.910534277862553
815,FarmaGlobal,Montevideo,Pocitos,35.70262684849874,16.910534277862553
816,FarmaGlobal,Montevideo,Parque Batlle,35.759882372168406,16.910534277862553
817,FarmaGlobal,Montevideo,Pocitos,35.65389492700339,16.910534277862553
818,FarmaGlobal,Lagomar,Interior,50.10133158961363,16.910534277862553
819,FarmaGlobal,Montevideo,La Blanqueada,50.0812331991622,16.910534277862553
820,FarmaGlobal,Atl�ntida,Interior,49.98253326854714,16.910534277862553
821,FarmaGlobal,Montevideo,Parque Rod�,49.919020247233426,16.910534277862553
822,FarmaGlobal,Montevideo,Parque Batlle,49.88550451441356,16.910534277862553
823,Frog,Montevideo,Trouville,,8.291301360000002
831,Sin Cadena,Montevideo,Nuevo Par�s,29.877226991599738,27.915165890757553
836,Sin Cadena,Castillos,Interior,24.633669266665702,27.915165890757553
837,El Dorado,Jos� Pedro Varela,Interior,31.326738106761987,27.915165890757553
838,El Dorado,Maldonado,Interior,29.938149516920355,27.915165890757553
842,El Dorado,Mercedes,Interior,11.890440234953715,16.910534277862553
843,Farmashop,Las Piedras,Interior,5.80468449653746,16.910534277862553
844,Farmashop,Montevideo,La Comercial,5.80468449653746,16.910534277862553
845,Farmashop,Salto,Interior,5.80468449653746,16.910534277862553
846,Farmashop,Maldonado,Interior,5.80468449653746,16.910534277862553
847,El Dorado,Maldonado,Interior,17.178716533063,16.910534277862553
848,Farmashop,Montevideo,Col�n ,5.80468449653746,16.910534277862553
849,Farmashop,Montevideo,Cordon,5.80468449653746,16.910534277862553
850,Farmashop,Montevideo,Palermo,5.80468449653746,16.910534277862553
851,Farmashop,Carmelo,Interior,5.80468449653746,16.910534277862553
852,Sin Cadena,Montevideo,Piedras Blancas,6.761904131443597,16.910534277862553
854,Farmashop,Minas,Interior,5.80468449653746,16.910534277862553
857,El Dorado,Melo,Interior,16.37842479828917,16.910534277862553
858,Farmashop,Colonia del Sacramento,Interior,5.80468449653746,16.910534277862553
859,Farmashop,Canelones,Interior,5.80468449653746,16.910534277862553
860,El Dorado,Cardona,Interior,14.90094781649498,16.910534277862553
861,El Dorado,Paso de los toros,Interior,20.320672891626756,16.910534277862553
862,Farmashop,Rocha,Interior,5.748496643515089,16.910534277862553
868,Farmashop,Montevideo,Cordon,5.748496643515089,16.910534277862553
869,Farmashop,Pando,Interior,5.748496643515089,16.910534277862553
870,Farmashop,Lagomar,Interior,5.80468449653746,16.910534277862553
871,Farmashop,Montevideo,Punta de Rieles ,5.748496643515089,16.910534277862553
872,Farmashop,San Carlos,Interior,5.80468449653746,16.910534277862553
873,Farmashop,Durazno,Interior,5.693401509568097,16.910534277862553
874,Farmashop,Montevideo,Prado ,5.693401509568097,16.910534277862553
875,Farmashop,Montevideo,Centro,5.582352366531529,16.910534277862553
876,Farmashop,Pan de Az�car,Interior,5.693401509568097,16.910534277862553
877,El Dorado,Paysand�,Interior,11.32791977258172,16.910534277862553
878,El Dorado,Fray Bentos,Interior,12.383397554866903,16.910534277862553
880,Farmashop,Montevideo,Pocitos,5.693401509568097,16.910534277862553
881,Ta - Ta,Paso de los toros,Interior,,8.291301360000002
882,Farmashop,Dolores,Interior,,8.291301360000002
883,Ta - Ta,Montevideo,Punta Carretas,,8.291301360000002
884,Farmashop,Montevideo,Lezica ,,8.291301360000002
885,Sin Cadena,Montevideo,Conciliaci�n,,8.291301360000002
892,Farmashop,Montevideo,Manga,,8.291301360000002
893,Tienda Inglesa,Montevideo,Pocitos,,8.291301360000002
894,Tienda Inglesa,Altos la Tahona,Interior,,8.291301360000002
895,El Dorado,Carmelo,Interior,,8.291301360000002
896,Sin Cadena,Costa Azul,Interior,,8.291301360000002
897,Sin Cadena,Parque del Plata,Interior,,8.291301360000002
898,Sin Cadena,San Luis,Interior,,8.291301360000002
899,Sin Cadena,La Floresta,Interior,,8.291301360000002
900,Sin Cadena,Piri�polis,Interior,,8.291301360000002
901,Sin Cadena,Canelones,Interior,,8.291301360000002
902,Sin Cadena,San Ram�n,Interior,,8.291301360000002
903,Sin Cadena,Santa Rosa,Interior,,8.291301360000002
904,Sin Cadena,Ciudad del Plata,Interior,,8.291301360000002
905,Sin Cadena,Ciudad del Plata,Interior,,8.291301360000002
906,Sin Cadena,Maldonado,Interior,,8.291301360000002
907,Sin Cadena,Maldonado,Interior,,8.291301360000002
908,Sin Cadena,Montevideo,Capurro ,,8.291301360000002
909,Sin Cadena,Ciudad de la Costa,Interior,,8.291301360000002
910,Farmashop,Montevideo,Lezica,,8.291301360000002
911,Farmashop,Ciudad de la Costa,Interior,,8.291301360000002
912,Farmashop,Salto,Interior,,8.291301360000002
913,Farmashop,Montevideo,Montevideo,,8.291301360000002
914,Farmashop,Nueva Helvecia,Interior,,8.291301360000002
915,Farmashop,Montevideo,Tres Cruces,,8.291301360000002
916,Farmashop,Maldonado,Interior,,8.291301360000002
917,Farmashop,Maldonado,Interior,,8.291301360000002
918,Farmashop,Punta Ballena,Interior,,8.291301360000002
919,Farmashop,Minas,Interior,,8.291301360000002
