id_Estab,razon.social,nombre.sucursal,direccion,ccz,barrio,cajas,cadena,long,lat,ciudad,depto,id.depto,localidad,lat_rad,lon_rad,secc,test
765,DALTIRO S.A.,El Clon - Pando,Gral Artigas 922,,Interior,3.0,El Clon,-34.718257,-55.96139,Pando,Canelones,3.0,3322.0,-0.9767105094926296,-0.605947895203569,,
766,DALTIRO S.A.,El Clon - Pocitos,Av Brasil  3098,,Pocitos,3.0,El Clon,-34.914118,-56.14948,Montevideo,Montevideo,1.0,1020.0,-0.9799932992827056,-0.6093663145298176,,
767,DALTIRO S.A.,El Clon - Las Piedras Shopping,Av Bicentenario  312,,Interior,6.0,El Clon,-34.725448,-56.20293,Las Piedras,Canelones,3.0,3221.0,-0.9809261777678967,-0.6060734018300798,,
768,DALTIRO S.A.,El Clon - ROCHA,Gral Artigas  144,,Interior,4.0,El Clon,-34.481595,-54.33502,Rocha,Rocha,14.0,14320.0,-0.9483249981369694,-0.6018173640892142,,
769,BOWEREY SA,KINKO 1,Benito Blanco 1182 esq. Barreiro 1,,Pocitos,2.0,Kinko,-34.9111124,-56.1454468,Montevideo,Montevideo,1.0,1020.0,-0.9799229066633143,-0.6093138569138197,,
770,BOWEREY SA,KINKO 2,Tomas Diago 798 esq. Jaime Zuda�ez 2,,Trouville,2.0,Kinko,-34.9166748,-56.1521854,Montevideo,Montevideo,1.0,1020.0,-0.9800405174202891,-0.6094109391081326,,
771,BOWEREY SA,KINKO 3,Gabriel Pereira 3169 esq. 26 de Marzo 3,,Pocitos,2.0,Kinko,-34.9092691,-56.1478388,Montevideo,Montevideo,1.0,1020.0,-0.979964654939022,-0.6092816852597177,,
772,BOWEREY SA,KINKO 4,Av. Gral. Rivera 3649 esq. Bustamante 4,,Buceo,2.0,Kinko,-34.8997639,-56.1346418,Montevideo,Montevideo,1.0,1020.0,-0.9797343238376361,-0.6091157882236571,,
773,BOWEREY SA,KINKO 5,Av. Gral. Rivera 2142 esq. Joaquin Requena 5,,Cordon,2.0,Kinko,-34.9022802,-56.1693546,Montevideo,Montevideo,1.0,1020.0,-0.9803401764902225,-0.609159705943625,,
774,BOWEREY SA,KINKO 6,Av. Gral. Rivera 2715 esq. Francisco Soca 6,,Parque Batlle,2.0,Kinko,-34.9031372,-56.1556223,Montevideo,Montevideo,1.0,1020.0,-0.9801005026413508,-0.6091746634153147,,
775,BOWEREY SA,KINKO 7,Blanes 901 esq. Lauro Muller 7,,Parque Rod�,2.0,Kinko,-34.9125566,-56.1715106,Montevideo,Montevideo,1.0,1020.0,-0.9803778057888954,-0.609339062958877,,
776,BOWEREY SA,KINKO 8,Av. Alfredo Arocena 2005 esq. Mones Roses 8,,Carrasco,2.0,Kinko,-34.8806507,-56.0617263,Montevideo,Montevideo,1.0,1020.0,-0.9784617082868983,-0.6087821999530648,,
777,BOWEREY SA,KINKO 9,San Jose 1194 esq. Zelmar Michelini 9,,Centro,2.0,Kinko,-34.90683197,-56.19031399,Montevideo,Montevideo,1.0,1020.0,-0.9807059868549322,-0.6092391493169185,,
778,BOWEREY SA,KINKO 10,Bvar. Espa�a 2759 esq. Jose Ellauri 10,,Pocitos,2.0,Kinko,-34.9139214,-56.1531876,Montevideo,Montevideo,1.0,1020.0,-0.9800580091100527,-0.6093628832125081,,
779,BOWEREY SA,KINKO 11,Ramon Anador 3842 esq. Propios 11,,Buceo,2.0,Kinko,-34.893242,-56.1302699,Montevideo,Montevideo,1.0,1020.0,-0.9796580197880683,-0.6090019595951712,,
780,BOWEREY SA,KINKO 12,Av. Brasil 2501 esq. Simon Bolivar 12,,Pocitos,2.0,Kinko,-34.9070161,-56.1597814,Montevideo,Montevideo,1.0,1020.0,-0.9801730926302706,-0.6092423629916702,,
781,BOWEREY SA,KINKO 13,Sarmiento 2471 esq. Obligado 13,,Parque Rod�,2.0,Kinko,-34.9143771,-56.1593981,Montevideo,Montevideo,1.0,1020.0,-0.9801664027832476,-0.6093708366779096,,
782,BOWEREY SA,KINKO 14,Hipolito Yrigoyen 1599 esq. Av Gral. Rivera 14,,Pocitos,2.0,Kinko,-34.8913317,-56.108974,Montevideo,Montevideo,1.0,1020.0,-0.9792863362158929,-0.6089686185704705,,
783,BOWEREY SA,KINKO 15,Jose Ellauri 548 esq. Blanca del Tabare 15,,Punta Carretas,2.0,Kinko,-34.9206163,-56.1569381,Montevideo,Montevideo,1.0,1020.0,-0.9801234676836487,-0.6094797312606,,
784,BOWEREY SA,KINKO 16,Soriano 1001 esq. Julio Herrera y Obes 16,,Centro,2.0,Kinko,-34.90792,-56.194457,Montevideo,Montevideo,1.0,1020.0,-0.9807782960203751,-0.6092581390227789,,
785,BOWEREY SA,KINKO 17,"Av Guillermo Perez Butler, M214, S16 esq. Santa Elena 17",,Interior,2.0,Kinko,-34.803946,-55.905994,El Pinar,Canelones,3.0,3828.0,-0.9757436669001948,-0.6074434503863104,,
786,BOWEREY SA,KINKO 18,Soriano 1441 esq. Barrios Amorin 18,,Centro,2.0,Kinko,-34.90728543,-56.18467464,Montevideo,Montevideo,1.0,1020.0,-0.9806075616297597,-0.6092470636869446,,
787,BOWEREY SA,KINKO 19,Rincon 605 esq. Juan Carlos Gomez 19,,Ciudad Vieja,2.0,Kinko,-34.9059382,-56.2031283,Montevideo,Montevideo,1.0,1020.0,-0.9809296387558034,-0.6092235500876629,,
788,BOWEREY SA,KINKO 20,Gral Maximo Tajes 6514 esq. Cooper 20,,Carrasco,2.0,Kinko,-34.8767086,-56.0671905,Montevideo,Montevideo,1.0,1020.0,-0.9785570765678858,-0.6087133973286221,,
789,BOWEREY SA,KINKO 21,Av. Italia 2956 esq. Las Heras 21,,Parque Batlle,2.0,Kinko,-34.8898312,-56.1501217,Montevideo,Montevideo,1.0,1020.0,-0.9800044990605157,-0.6089424299050443,,
790,BOWEREY SA,KINKO 22,Gral. Maximo Tajes 7424 esq. Patrick Kelly 22,,Carrasco,2.0,Kinko,-34.8748228,-56.04330317,Montevideo,Montevideo,1.0,1020.0,-0.9781401640098754,-0.6086804839095878,,
791,BOWEREY SA,KINKO 23,Julio Herrera y Obes 1373 esq. 18 de Julio 23,,Centro,2.0,Kinko,-34.9057184,-56.1949042,Montevideo,Montevideo,1.0,1020.0,-0.9807861011327902,-0.609219713853967,,
792,BOWEREY SA,KINKO 24,Avda General Ponce 1347 esq. Av. Gral. Rivera 24,,Pocitos,2.0,Kinko,-34.9031864,-56.161661,Montevideo,Montevideo,1.0,1020.0,-0.9802058978388911,-0.6091755221173066,,
793,BOWEREY SA,KINKO 25,Estero Bellaco 2846 esq. Humaita 25,,La Blanqueada,2.0,Kinko,-34.8890239,-56.15741,Montevideo,Montevideo,1.0,1020.0,-0.9801317038923888,-0.6089283398619928,,
794,BOWEREY SA,KINKO 26,Av Doctor Americo Ricaldoni 2854 esq. Alarcon 26,,Parque Batlle,2.0,Kinko,-34.8988217,-56.1541147,Montevideo,Montevideo,1.0,1020.0,-0.9800741900575479,-0.6090993437314447,,
795,BOWEREY SA,KINKO 27,Luis de la Torre 450 esq. Joaquin Nu�ez 27,,Punta Carretas,2.0,Kinko,-34.9201271,-56.1610898,Montevideo,Montevideo,1.0,1020.0,-0.9801959285182037,-0.6094711931098992,,
796,BOWEREY SA,KINKO 28,Colonia 1330 esq. Ejido 28,,Centro,2.0,Kinko,-34.9047217,-56.1874638,Montevideo,Montevideo,1.0,1020.0,-0.9806562416551248,-0.6092023181573125,,
797,BOWEREY SA,KINKO 29,Blvr. Gral Artigas 816 esq. 21 de Septiembre 29,,Parque Rod�,2.0,Kinko,-34.9136882,-56.1627911,Montevideo,Montevideo,1.0,1020.0,-0.9802256218047679,-0.6093588131046925,,
798,USSEL S.A.,Frog 13,Carlos Quijano  1303,,Centro,2.0,Frog,-34.906652,-56.1890833,Montevideo,Montevideo,1.0,1020.0,-0.9806845072623608,-0.6092360082478637,,
799,USSEL S.A.,Frog 15,Constituyente  1788,,Cordon,4.0,Frog,-34.9067402,-56.1778556,Montevideo,Montevideo,1.0,1020.0,-0.9804885469299346,-0.609237547628264,,
800,USSEL S.A.,Frog 16,8 de Octubre   3926,,Unión,3.0,Frog,-34.8733047,-56.1372654,Montevideo,Montevideo,1.0,1020.0,-0.9797801142958915,-0.6086539880662133,,
801,USSEL S.A.,Frog 17,Av. Italia  6446,,Carrasco,3.0,Frog,-34.878454,-56.068073,Montevideo,Montevideo,1.0,1020.0,-0.9785724790985346,-0.6087438603053863,,
802,USSEL S.A.,Frog 18,Ferrer Serra 2023,,Tres Cruces,3.0,Frog,-34.895284,-56.174059,Montevideo,Montevideo,1.0,1020.0,-0.9804222837595533,-0.6090375992184969,,
803,USSEL S.A.,Frog 19,Ing. Luis Ponce 1486,,Parque Batlle,3.0,Frog,-34.9007131,-56.1597392,Montevideo,Montevideo,1.0,1020.0,-0.9801723561013262,-0.6091323548889169,,
804,USSEL S.A.,Frog 20,Estanislao Lopez 4762,,Malvín,4.0,Frog,-34.8882015,-56.106276,Montevideo,Montevideo,1.0,1020.0,-0.9792392472326741,-0.6089139862742244,,
805,USSEL S.A.,Frog 21,Mar�a Espinola  1606,,Punta Gorda,3.0,Frog,-34.8884579,-56.0843312,Montevideo,Montevideo,1.0,1020.0,-0.9788562382189824,-0.6089184612984265,,
806,USSEL S.A.,Frog 22,Av. Bolivia  1595,,Carrasco,3.0,Frog,-34.89187291,-56.07127078,Montevideo,Montevideo,1.0,1020.0,-0.9786282908882891,-0.608978064466915,,
807,USSEL S.A.,Frog 23,Av. Brasil  2365,,Pocitos,4.0,Frog,-34.90600539,-56.16311266,Montevideo,Montevideo,1.0,1020.0,-0.9802312340855106,-0.6092247227743873,,
808,Alijor SRL,FarmaGlobal 1,Solano Antu�a 2752,,Trouville,1.0,FarmaGlobal,-34.918413,-56.153728,Montevideo,Montevideo,1.0,1020.0,-0.9800674408693304,-0.6094412764211907,,
809,Roenca LTDA,FarmaGlobal 2,Jaime Zuda�ez 2805,,Trouville,1.0,FarmaGlobal,-34.9163911,-56.1520421,Montevideo,Montevideo,1.0,1020.0,-0.9800380163634711,-0.6094059876090446,,
810,Nabel SRL,FarmaGlobal 3,21 de setiembre 2753,,Punta Carretas,1.0,FarmaGlobal,-34.9175787,-56.1572401,Montevideo,Montevideo,1.0,1020.0,-0.9801287385779898,-0.6094267151392413,,
811,Fioreste SRL,FarmaGlobal 4,Av Brasil  2946,,Pocitos,1.0,FarmaGlobal,-34.9113796,-56.1519681,Montevideo,Montevideo,1.0,1020.0,-0.9800367248198245,-0.6093185204335809,,
812,Segada SRL,FarmaGlobal 5,Ellauri 868,,Trouville,1.0,FarmaGlobal,-34.9147621,-56.1534529,Montevideo,Montevideo,1.0,1020.0,-0.9800626394685581,-0.6093775561955296,,
813,Farmi LTDA,FarmaGlobal 6,Av Brasil 3077,,Pocitos,1.0,FarmaGlobal,-34.9133707,-56.1497509,Montevideo,Montevideo,1.0,1020.0,-0.9799980273796494,-0.6093532716843174,,
814,Arcadia SRL,FarmaGlobal 7,21 de Setiembre 3076,,Trouville,1.0,FarmaGlobal,-34.9201801,-56.1509387,Montevideo,Montevideo,1.0,1020.0,-0.9800187584005045,-0.6094721181344028,,
