id_Producto,Año,Mes,Cod_AnoMes,PrEsp,Precio,Pre_Var,Ind_Var12,Pre_Var12Acum,Ind_Var12Acum,producto,marca,especificacion,nombre,Producto,Subclase,Clase,Grupo,Division,Denominación Division,Denominación Grupo,Denominación Clase
4,2018,12,201812,False,66.2194642857143,1.0915993024783548,1.079601990049751,1.0915993024783548,1.079601990049751,Aceite de maíz,Delicia,Envase 900 cc,Aceite de maíz Delicia Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
4,2019,12,201912,False,79.68066445182724,1.2032816228780179,1.0878791126353013,1.313501380218667,1.1744764549346287,Aceite de maíz,Delicia,Envase 900 cc,Aceite de maíz Delicia Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
4,2020,12,202012,False,91.80266272189348,1.1521322437941626,1.094128657275145,1.5133272924180623,1.2850283466388976,Aceite de maíz,Delicia,Envase 900 cc,Aceite de maíz Delicia Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
4,2021,12,202112,False,122.96120437956205,1.3394078203598527,1.07959303110791,2.0269624102287542,1.3873076478074737,Aceite de maíz,Delicia,Envase 900 cc,Aceite de maíz Delicia Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
4,2022,12,202212,False,145.43894150417827,1.1828034886128063,1.0829130136,2.3974982101055926,1.5023335056775189,Aceite de maíz,Delicia,Envase 900 cc,Aceite de maíz Delicia Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2017,12,201712,False,61.50889679715303,1.0,1.0,1.0,1.0,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2018,12,201812,False,63.15,1.0266807451978708,1.079601990049751,1.0266807451978708,1.079601990049751,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2019,12,201912,False,75.55447368421054,1.196428720256699,1.0878791126353013,1.2283503300892826,1.1744764549346287,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2020,12,202012,False,120.82349726775956,1.599157420813447,1.094128657275145,1.9643255457209234,1.2850283466388976,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2021,12,202112,False,141.70345394736842,1.172813708854465,1.07959303110791,2.3037879286745273,1.3873076478074737,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
5,2022,12,202212,False,152.34117647058824,1.0750703121687555,1.0829130136,2.4767340076507347,1.5023335056775189,Aceite de maíz,Río de la Plata,Envase 900 cc,Aceite de maíz Río de la Plata Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
